,prop_type,year_built,beds,baths_full,garage,baths_half,price,baths,rank,photo_count,state_code,Property Size(Sq. Ft),Alexandria,Arlington,Brentwood,Capitol Heights,District Heights,Falls Church,Hyattsville,Landover,McLean,Mount Rainier,Suitland,Takoma Park,Temple Hills,University Park,Washington,Time
136,1,1893,3,3,0,1,1028000,4,4,36,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.0
137,1,1973,1,1,0,1,432500,2,21,44,2,1468,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0
138,2,1956,4,2,0,0,514000,2,7,63,2,835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0
139,1,1950,1,1,0,1,82500,2,20,27,3,2461,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59.0
140,1,2020,2,2,0,0,855000,2,7,10,1,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84.0
141,2,1936,3,3,0,1,980000,4,9,49,1,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.0
142,1,2003,1,1,0,0,385000,1,42,34,1,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.0
143,1,2008,2,2,0,0,750000,2,43,46,1,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.0
144,1,1981,1,1,1,0,500000,1,12,20,1,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.0
145,2,1958,4,2,0,1,188000,3,14,17,3,1134,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,140.0
146,1,1925,4,3,0,1,979500,4,43,35,1,2858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106.0
147,1,2005,2,2,0,0,810000,2,10,35,1,1588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.0
148,1,2013,3,2,2,2,700000,4,23,33,1,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.0
149,2,1950,4,2,0,0,545000,2,28,86,2,1437,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
150,1,1857,3,3,0,1,2195000,4,25,17,1,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79.0
151,1,2018,2,2,1,1,1300000,3,8,19,1,2677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,438.0
152,1,1940,4,2,0,0,515000,2,19,21,2,2869,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
153,1,1926,2,1,0,1,570000,2,33,30,1,2226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.0
154,2,1938,5,3,0,0,510000,3,7,35,1,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.0
155,2,2019,5,5,2,0,963000,5,30,44,1,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,175.0
156,2,1927,4,3,2,0,370000,3,14,12,1,2292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.0
157,1,1960,1,1,0,0,359000,1,17,32,1,4887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97.0
158,1,1924,2,1,0,1,845000,2,39,19,1,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.0
159,2,1910,2,1,0,1,750000,2,22,37,2,1280,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
160,2,2013,5,4,2,1,1117000,5,42,68,2,1780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0
161,2,1950,4,2,1,0,895000,2,13,35,2,1920,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
162,1,1997,2,2,0,1,646000,3,8,50,2,1123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
